# Stome stuff here
#licensee,emailAddress,externalID,username,password,mailHost,notifierURI
# 1 zimbra account
#
#TimeTrade,bkelly@tt-zimbra-test.com,someExternalId,bkelly@tt-zimbra-test.com,Testing123,zcs-mta.vps-host.net,http://localhost/notifier
#
# Lots of inhouse Exchange accounts
TimeTrade,TestAcc1@devexchtest.local,TestAcc1,TestAcc1,MgVYdYVH1D66,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc2@devexchtest.local,TestAcc2,TestAcc2,23jk44^K0fg,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc3@devexchtest.local,TestAcc3,TestAcc3,5fj47Cq7nYy5,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc4@devexchtest.local,TestAcc4,TestAcc4,dqo7aYQGwZcO,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc5@devexchtest.local,TestAcc5,TestAcc5,4pSO8xU8fjuW,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc6@devexchtest.local,TestAcc6,TestAcc6,dyJ0FmF3RLlq,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc7@devexchtest.local,TestAcc7,TestAcc7,bpry3RLAlFA1,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc8@devexchtest.local,TestAcc8,TestAcc8,htT7tAbr6QSY,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc9@devexchtest.local,TestAcc9,TestAcc9,YRuxRx1fTEe1,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc10@devexchtest.local,TestAcc10,TestAcc10,x5456PSe2IKq,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc11@devexchtest.local,TestAcc11,TestAcc11,dOmLhEFyOYD4,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc12@devexchtest.local,TestAcc12,TestAcc12,NPaJ35rb9MAs,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc13@devexchtest.local,TestAcc13,TestAcc13,DdUzdct6WKgQ,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc14@devexchtest.local,TestAcc14,TestAcc14,3NDYwrfiU8d5,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc15@devexchtest.local,TestAcc15,TestAcc15,R51bUVl7BboD,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc16@devexchtest.local,TestAcc16,TestAcc16,K6VDn7OT7gQu,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc17@devexchtest.local,TestAcc17,TestAcc17,kOS6Z1M0xud9,devexch2010-dc,http://localhost/notifier
#TimeTrade,TestAcc18@devexchtest.local,TestAcc18,TestAcc18,I0584d7GsaSE,devexch2010-dc,http://localhost/notifier
